Robot position: x: 350 y: 185 theta: 200
Observations: 
Angle 	 Distance 	 Endpoint
 75 	 219.27152117865194 	 (406, 397)
 77 	 217.5890622251036 	 (399, 397)
 79 	 215.92822881689185 	 (391, 397)
 81 	 214.55302374937528 	 (383, 397)
 83 	 213.5883891975404 	 (376, 397)
 85 	 135.5322839769182 	 (362, 320)
 87 	 135.18135966175217 	 (357, 320)
 89 	 136.01470508735443 	 (352, 321)
 91 	 136.03308421115798 	 (347, 321)
 93 	 212.2851855405836 	 (339, 397)
 95 	 137.5245432641025 	 (338, 322)
 97 	 117.957619508025 	 (335, 302)
 99 	 118.53269591129698 	 (331, 302)
 101 	 119.23925528113634 	 (327, 302)
 103 	 120.07497657713701 	 (323, 302)
 105 	 121.29715577869086 	 (318, 302)
 107 	 122.41323457861898 	 (314, 302)
 109 	 123.97580409095961 	 (309, 302)
 111 	 125.35549449465708 	 (305, 302)
 113 	 127.23600119463045 	 (300, 302)
 115 	 130.18832512940628 	 (295, 303)
 117 	 213.32838535928593 	 (253, 375)
 119 	 199.21094347449892 	 (253, 359)
 121 	 187.9627622695517 	 (253, 346)
 123 	 177.79201331893398 	 (253, 334)
 125 	 168.6801707374047 	 (253, 323)
 127 	 160.60199251565965 	 (253, 313)
 129 	 154.30165261590687 	 (253, 305)
 131 	 147.41099009232656 	 (253, 296)
 133 	 142.21462653327893 	 (253, 289)
 135 	 137.17871555019022 	 (253, 282)
 137 	 132.32157798333574 	 (253, 275)
 139 	 128.3160161476345 	 (253, 269)
 141 	 34.828149534535996 	 (323, 207)
 143 	 35.0 	 (322, 206)
 145 	 35.22782990761707 	 (321, 205)
 147 	 35.510561809129406 	 (320, 204)
 149 	 37.21558813185679 	 (318, 204)
 151 	 39.824615503479755 	 (315, 204)
 153 	 42.485291572496 	 (312, 204)
 155 	 46.09772228646444 	 (308, 204)
 157 	 49.76946855251722 	 (304, 204)
 159 	 54.42425929675111 	 (299, 204)
 161 	 60.08327554319921 	 (293, 204)
 163 	 66.76076692189807 	 (286, 204)
 165 	 75.43208866258443 	 (277, 204)
 167 	 87.0976463516667 	 (265, 204)
 169 	 101.78899744078434 	 (250, 204)
 171 	 126.43575443678897 	 (225, 204)
 173 	 162.1172415260018 	 (189, 204)
 175 	 221.81523843054606 	 (129, 204)
 177 	 300.3747659175118 	 (50, 200)
 179 	 300.04166377354994 	 (50, 190)
 181 	 300.0599940011997 	 (50, 179)
 183 	 300.4263636900064 	 (50, 169)
 185 	 300.2165884823822 	 (51, 158)
 187 	 198.45654436173174 	 (153, 161)
 189 	 155.8589105569521 	 (196, 161)
 191 	 132.5745073534124 	 (220, 159)
 193 	 159.1257364476281 	 (195, 149)
 195 	 94.11163583744573 	 (259, 161)
 197 	 82.56512580987206 	 (271, 161)
 199 	 74.0 	 (280, 161)
 201 	 67.4166151627327 	 (287, 161)
 203 	 61.84658438426491 	 (293, 161)
 205 	 57.271284253105414 	 (298, 161)
 207 	 52.773099207835045 	 (303, 161)
 209 	 50.11985634456667 	 (306, 161)
 211 	 46.647615158762406 	 (310, 161)
 213 	 44.10215414239989 	 (313, 161)
 215 	 41.617304093369626 	 (316, 161)
 217 	 41.400483088968905 	 (317, 160)
 219 	 62.625873247404705 	 (301, 146)
 221 	 64.53681120105021 	 (301, 143)
 223 	 66.52818951391959 	 (301, 140)
 225 	 69.29646455628166 	 (301, 136)
 227 	 71.449282711585 	 (301, 133)
 229 	 74.41102068914255 	 (301, 129)
 231 	 78.24321056807422 	 (301, 124)
 233 	 81.40024569987489 	 (301, 120)
 235 	 85.44588931013593 	 (301, 115)
 237 	 89.58794561770016 	 (301, 110)
 239 	 95.524865872714 	 (301, 103)
 241 	 100.72239075796404 	 (301, 97)
 243 	 107.78218776773832 	 (301, 89)
 245 	 115.87061750072795 	 (301, 80)
 247 	 125.00399993600205 	 (301, 70)
 249 	 137.05838172107534 	 (301, 57)
 251 	 150.2165104108067 	 (301, 43)
 253 	 190.4205871222962 	 (294, 3)
 255 	 188.48076824970764 	 (301, 3)
 257 	 186.78329689776868 	 (308, 3)
 259 	 185.52627846210896 	 (314, 3)
 261 	 184.29595763336752 	 (321, 3)
 263 	 183.44754018519845 	 (327, 3)
 265 	 182.70194306574848 	 (334, 3)
 267 	 182.27451824103116 	 (340, 3)
 269 	 69.00724599634447 	 (349, 116)
 271 	 69.00724599634447 	 (351, 116)
 273 	 70.11419257183242 	 (354, 115)
 275 	 70.25667228100119 	 (356, 115)
 277 	 70.45565981523414 	 (358, 115)
 279 	 70.8590149522275 	 (361, 115)
 281 	 71.386273190299 	 (364, 115)
 283 	 71.80529228406496 	 (366, 115)
 285 	 72.53275122315436 	 (369, 115)
 287 	 73.08214556237385 	 (371, 115)
 289 	 74.0 	 (374, 115)
 291 	 75.02666192761077 	 (377, 115)
 293 	 76.15773105863909 	 (380, 115)
 295 	 77.38862965578342 	 (383, 115)
 297 	 78.71467461661771 	 (386, 115)
 299 	 80.1311425102625 	 (389, 115)
 301 	 29.154759474226502 	 (365, 160)
 303 	 78.77182237323191 	 (393, 119)
 305 	 74.63243262818116 	 (393, 124)
 307 	 71.40028011149536 	 (393, 128)
 309 	 68.24954212300622 	 (393, 132)
 311 	 65.94694837519019 	 (393, 135)
 313 	 62.96824596572466 	 (393, 139)
 315 	 60.81118318204309 	 (393, 142)
 317 	 58.728187440104094 	 (393, 145)
 319 	 56.72741841473134 	 (393, 148)
 321 	 56.85068161420758 	 (394, 149)
 323 	 54.20332093147061 	 (393, 152)
 325 	 43.01162633521314 	 (385, 160)
